Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 16:30:30.717,0.072014,0.071948,0.126254,0,0,4
1900-01-01 16:30:31.717,0.071327,0.072006,0.126731,0,0,4
1900-01-01 16:30:32.717,0.072062,0.072899,0.126327,0,0,4
1900-01-01 16:30:33.717,0.070245,0.072064,0.126474,0,0,4
1900-01-01 16:30:34.717,0.070544,0.072458,0.12595,0,0,4
1900-01-01 16:30:35.717,0.071773,0.071565,0.126244,0,0,4
1900-01-01 16:30:36.717,0.071159,0.071203,0.12652,0,0,4
1900-01-01 16:30:37.717,0.072025,0.072605,0.126492,0,0,4
1900-01-01 16:30:38.717,0.071405,0.071334,0.12663,0,0,4
1900-01-01 16:30:39.717,0.071185,0.072426,0.126061,0,0,4
1900-01-01 16:30:40.717,0.072256,0.071744,0.125987,0,0,4
1900-01-01 16:30:41.717,0.070938,0.072064,0.126162,0,0,4
1900-01-01 16:30:42.717,0.070655,0.07167,0.125656,0,0,4
1900-01-01 16:30:43.717,0.071201,0.071702,0.125785,0,0,4
1900-01-01 16:30:44.717,0.070229,0.072305,0.125721,0,0,4
1900-01-01 16:30:45.717,0.070749,0.071859,0.126621,0,0,4
1900-01-01 16:30:46.717,0.070975,0.071922,0.126437,0,0,4
1900-01-01 16:30:47.717,0.071715,0.071864,0.126051,0,0,4
1900-01-01 16:30:48.717,0.071216,0.071707,0.126134,0,0,4
1900-01-01 16:30:49.717,0.071185,0.071313,0.126511,0,0,4
1900-01-01 16:30:50.717,0.071195,0.071723,0.126786,0,0,4
1900-01-01 16:30:51.717,0.071027,0.071303,0.126373,0,0,4
1900-01-01 16:30:52.717,0.072114,0.071875,0.126658,0,0,4
1900-01-01 16:30:53.717,0.071689,0.071843,0.126437,0,0,4
1900-01-01 16:30:54.717,0.070854,0.071796,0.126309,0,0,4
1900-01-01 16:30:55.717,0.071951,0.072127,0.126639,0,0,4
1900-01-01 16:30:56.717,0.071804,0.07208,0.126768,0,0,4
1900-01-01 16:30:57.717,0.071484,0.072022,0.126621,0,0,4
1900-01-01 16:30:58.717,0.070744,0.071833,0.126603,0,0,4
1900-01-01 16:30:59.717,0.072046,0.072122,0.126566,0,0,4
1900-01-01 16:31:00.717,0.070859,0.072384,0.12686,0,0,4
1900-01-01 16:31:01.717,0.071731,0.071534,0.126658,0,0,4
1900-01-01 16:31:02.717,0.071741,0.072101,0.126272,0,0,4
1900-01-01 16:31:03.717,0.071468,0.071371,0.12652,0,0,4
1900-01-01 16:31:04.717,0.071752,0.072001,0.12629,0,0,4
1900-01-01 16:31:05.717,0.071206,0.071334,0.126676,0,0,4
1900-01-01 16:31:06.717,0.071216,0.072185,0.126584,0,0,4
1900-01-01 16:31:07.717,0.071421,0.072132,0.12618,0,0,4
1900-01-01 16:31:08.717,0.07182,0.071507,0.126208,0,0,4
1900-01-01 16:31:09.717,0.072093,0.071969,0.126768,0,0,4
1900-01-01 16:31:10.717,0.071405,0.072069,0.126593,0,0,4
1900-01-01 16:31:11.717,0.070854,0.071717,0.12652,0,0,4
1900-01-01 16:31:12.717,0.070534,0.071366,0.126603,0,0,4
1900-01-01 16:31:13.717,0.071484,0.072195,0.12663,0,0,4
1900-01-01 16:31:14.717,0.07088,0.072242,0.126125,0,0,4
