Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),Temperature TS outlet (Std Dev),Temperature TS inlet (Std Dev),Bypass temperature (Std Dev),Tank temperature (Std Dev),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Flow rate (Std Dev),Plug,Anomaly,Plug_future
1900-01-01 10:08:47.845,0.755723,0.000663,0.211787,1559.263128,6.115297,-0.8722,-0.72449,21.967648,0.244546,0.593761,0.221307,1.050581,0.016214,0.07076,0.005698,12.725296,0,0,0.0
1900-01-01 10:08:48.349,0.758981,0.000445,0.212959,1559.030082,6.015777,-0.86115,-0.712768,21.963136,0.264902,0.710062,0.242169,1.086003,0.016837,0.071623,0.005431,11.509996,0,0,0.0
1900-01-01 10:08:48.846,0.753429,0.0007,0.212014,1558.982649,6.076311,-0.817949,-0.674179,21.979399,0.24042,0.662668,0.233041,1.115444,0.017013,0.073503,0.005544,10.868743,0,0,0.0
1900-01-01 10:08:49.345,0.756831,0.000448,0.212476,1560.014077,5.982415,-0.792463,-0.659386,21.966551,0.248155,0.691906,0.222332,1.005175,0.017364,0.071503,0.005555,11.85666,0,0,0.0
1900-01-01 10:08:49.849,0.757533,0.000518,0.213251,1558.609117,6.0301,-0.780158,-0.633594,21.979025,0.258503,0.75734,0.226542,1.069703,0.016989,0.072753,0.005833,11.336315,0,0,0.0
1900-01-01 10:08:50.345,0.754878,0.000599,0.212449,1559.861148,6.013463,-0.714862,-0.609638,21.971702,0.24468,0.587984,0.223091,1.113866,0.016966,0.069329,0.005619,11.961827,0,0,0.0
1900-01-01 10:08:50.849,0.756523,0.000591,0.212922,1559.7504,5.960049,-0.733281,-0.594528,21.977722,0.258029,0.746788,0.221686,1.062844,0.016721,0.071427,0.005573,10.338734,0,0,0.0
1900-01-01 10:08:51.349,0.757067,0.000537,0.211567,1559.640313,5.948611,-0.652743,-0.559625,21.975524,0.238178,0.669083,0.239993,1.079612,0.017029,0.075132,0.006026,12.374302,0,0,0.0
1900-01-01 10:08:51.845,0.757736,0.00061,0.212671,1559.994228,5.929315,-0.673316,-0.551947,21.978319,0.255143,0.688769,0.240714,1.063036,0.017159,0.06868,0.005737,12.751696,0,0,0.0
1900-01-01 10:08:52.349,0.753731,0.000508,0.211956,1558.665246,6.012652,-0.59786,-0.511188,21.981629,0.251698,0.733188,0.236448,1.042264,0.017002,0.071849,0.005906,11.642928,0,0,0.0
