Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),LogId,Plug,Plug_future
1900-01-01 15:33:11.330,21.918238,-0.065774,22.506262,-1.258929,0.079796,0.112319,0.176526,0.985977,8,0,0.0
1900-01-01 15:33:12.330,21.925064,-0.073912,22.508888,-1.251973,0.079386,0.113148,0.176591,0.8021,8,0,0.0
1900-01-01 15:33:13.330,21.918501,-0.053699,22.505081,-1.252366,0.078803,0.11223,0.176113,0.439059,8,0,0.0
1900-01-01 15:33:14.330,21.918501,-0.074699,22.505081,-1.253941,0.079759,0.113637,0.178162,1.141566,8,0,0.0
1900-01-01 15:33:15.330,21.915482,-0.06013,22.502455,-1.254991,0.080473,0.113878,0.177601,1.051984,8,0,0.0
1900-01-01 15:33:16.330,21.915613,-0.076274,22.505868,-1.267198,0.079402,0.113421,0.17761,1.070844,8,0,0.0
1900-01-01 15:33:17.330,21.919157,-0.063936,22.502849,-1.270479,0.08052,0.112996,0.176168,0.905825,8,0,0.0
1900-01-01 15:33:18.330,21.914694,-0.06538,22.509807,-1.276779,0.080678,0.113395,0.177491,0.858677,8,0,0.0
1900-01-01 15:33:19.330,21.911806,-0.067611,22.501405,-1.278485,0.080483,0.114713,0.17615,0.934114,8,0,0.0
1900-01-01 15:33:20.330,21.916269,-0.079687,22.502455,-1.272316,0.0802,0.114897,0.176655,1.127421,8,0,0.0
1900-01-01 15:33:21.330,21.901043,-0.068399,22.496154,-1.267985,0.079985,0.112938,0.176003,1.136851,8,0,0.0
1900-01-01 15:33:22.330,21.903931,-0.066168,22.496023,-1.275335,0.081308,0.114093,0.176875,0.877537,8,0,0.0
1900-01-01 15:33:23.330,21.9122,-0.063543,22.497336,-1.274679,0.081701,0.114099,0.176389,0.717233,8,0,0.0
1900-01-01 15:33:24.330,21.910231,-0.059474,22.490378,-1.278485,0.081313,0.113001,0.175562,0.797385,8,0,0.0
1900-01-01 15:33:25.330,21.90183,-0.070893,22.487621,-1.269691,0.080399,0.112366,0.175865,0.990692,8,0,0.0
1900-01-01 15:33:26.330,21.905112,-0.063805,22.49261,-1.283341,0.081397,0.11308,0.17501,0.754952,8,0,0.0
1900-01-01 15:33:27.330,21.898155,-0.062886,22.487228,-1.276385,0.081145,0.1134,0.176297,0.764381,8,0,0.0
1900-01-01 15:33:28.330,21.895792,-0.061049,22.488278,-1.27376,0.080756,0.114046,0.176471,1.018981,8,0,0.0
1900-01-01 15:33:29.330,21.904587,-0.059999,22.487621,-1.278222,0.081082,0.112723,0.175497,0.863392,8,0,0.0
1900-01-01 15:33:30.330,21.901174,-0.063018,22.487359,-1.279535,0.082568,0.114209,0.176159,0.943544,8,0,0.0
1900-01-01 15:33:31.330,21.897236,-0.048317,22.481058,-1.275597,0.08376,0.114844,0.177372,0.835103,8,0,0.0
1900-01-01 15:33:32.330,21.89763,-0.064068,22.482764,-1.267723,0.083728,0.114529,0.176811,1.070844,8,0,0.0
1900-01-01 15:33:33.330,21.901962,-0.069055,22.48539,-1.291479,0.083586,0.114219,0.176774,0.858677,8,0,0.0
1900-01-01 15:33:34.330,21.90183,-0.066955,22.478432,-1.279141,0.084043,0.114818,0.177234,0.934114,8,0,0.0
1900-01-01 15:33:35.330,21.892773,-0.052911,22.479482,-1.28846,0.084169,0.113101,0.176673,0.641796,8,0,0.0
1900-01-01 15:33:36.330,21.894742,-0.055011,22.483027,-1.288066,0.083571,0.114477,0.17705,0.500352,8,0,0.0
1900-01-01 15:33:37.330,21.900124,-0.061574,22.481058,-1.28741,0.083823,0.114608,0.177427,0.886966,8,0,0.0
1900-01-01 15:33:38.330,21.902749,-0.061574,22.48434,-1.285835,0.083487,0.114881,0.177252,0.721948,8,0,0.0
1900-01-01 15:33:39.330,21.907606,-0.059474,22.482764,-1.288985,0.082694,0.113432,0.17683,0.655941,8,0,0.0
1900-01-01 15:33:40.330,21.902618,-0.060917,22.48434,-1.289641,0.083471,0.113463,0.17648,0.797385,8,0,0.0
1900-01-01 15:33:41.330,21.906425,-0.049892,22.490247,-1.285572,0.084222,0.114219,0.177868,0.948259,8,0,0.0
1900-01-01 15:33:42.330,21.906556,-0.05173,22.488015,-1.305391,0.084993,0.115705,0.17795,0.952974,8,0,0.0
1900-01-01 15:33:43.330,21.910494,-0.060786,22.490116,-1.302766,0.084206,0.114372,0.177013,0.952974,8,0,0.0
1900-01-01 15:33:44.330,21.906556,-0.048055,22.493791,-1.293447,0.084117,0.114797,0.177675,0.91054,8,0,0.0
1900-01-01 15:33:45.330,21.912594,-0.047923,22.492872,-1.297516,0.083502,0.11445,0.177574,0.778526,8,0,0.0
1900-01-01 15:33:46.330,21.910888,-0.050942,22.491166,-1.297385,0.084568,0.115348,0.177886,0.53807,8,0,0.0
1900-01-01 15:33:47.330,21.91535,-0.053173,22.496679,-1.306047,0.085056,0.115726,0.179034,0.764381,8,0,0.0
1900-01-01 15:33:48.330,21.917319,-0.042411,22.501274,-1.304735,0.085041,0.114997,0.177528,0.750237,8,0,0.0
1900-01-01 15:33:49.330,21.920076,-0.052386,22.494054,-1.296072,0.083901,0.114272,0.177335,0.754952,8,0,0.0
1900-01-01 15:33:50.330,21.928608,-0.05278,22.504949,-1.304603,0.084232,0.114167,0.177197,0.957688,8,0,0.0
1900-01-01 15:33:51.330,21.925851,-0.046217,22.493529,-1.293579,0.085287,0.115354,0.177656,0.693659,8,0,0.0
1900-01-01 15:33:52.330,21.927295,-0.055405,22.496679,-1.291741,0.085298,0.115054,0.178502,0.853963,8,0,0.0
1900-01-01 15:33:53.330,21.931496,-0.05173,22.496679,-1.297516,0.084542,0.115422,0.178474,0.872822,8,0,0.0
1900-01-01 15:33:54.330,21.935433,-0.054224,22.497729,-1.295547,0.084426,0.114456,0.177188,0.717233,8,0,0.0
1900-01-01 15:33:55.330,21.935696,-0.05803,22.496285,-1.299091,0.085224,0.114813,0.17761,0.962403,8,0,0.0
1900-01-01 15:33:56.330,21.931758,-0.048842,22.494316,-1.309985,0.086316,0.115716,0.178603,0.721948,8,0,0.0
1900-01-01 15:33:57.330,21.940159,-0.045561,22.495892,-1.308016,0.0844,0.114576,0.177234,0.882251,8,0,0.0
1900-01-01 15:33:58.330,21.941603,-0.049498,22.496023,-1.305916,0.08545,0.115795,0.178538,0.820959,8,0,0.0
1900-01-01 15:33:59.330,21.939503,-0.052123,22.489853,-1.304997,0.085272,0.114765,0.177858,0.825674,8,0,0.0
1900-01-01 15:34:00.330,21.946197,-0.046086,22.489197,-1.32836,0.085665,0.115243,0.177353,0.8021,8,0,0.0
1900-01-01 15:34:01.330,21.943965,-0.044904,22.488278,-1.301716,0.085303,0.114587,0.177114,0.670085,8,0,0.0
1900-01-01 15:34:02.330,21.946197,-0.045823,22.486965,-1.311691,0.084384,0.114125,0.176186,0.8021,8,0,0.0
1900-01-01 15:34:03.330,21.942259,-0.046348,22.492347,-1.309197,0.084804,0.113742,0.176958,0.693659,8,0,0.0
1900-01-01 15:34:04.330,21.945672,-0.043067,22.493923,-1.320353,0.085314,0.114172,0.177041,1.03784,8,0,0.0
1900-01-01 15:34:05.330,21.935958,-0.044904,22.488672,-1.319303,0.08576,0.115711,0.178548,1.000122,8,0,0.0
1900-01-01 15:34:06.330,21.939503,-0.040179,22.491428,-1.303422,0.08472,0.114104,0.177601,0.877537,8,0,0.0
1900-01-01 15:34:07.330,21.945934,-0.041492,22.49471,-1.313791,0.08523,0.113873,0.176572,0.764381,8,0,0.0
1900-01-01 15:34:08.330,21.944097,-0.044248,22.49471,-1.307228,0.084274,0.114135,0.177013,1.117992,8,0,0.0
1900-01-01 15:34:09.330,21.944622,-0.047398,22.489722,-1.326916,0.084915,0.114015,0.17649,1.15571,8,0,0.0
1900-01-01 15:34:10.330,21.941471,-0.042673,22.486571,-1.320878,0.085072,0.114545,0.177326,0.839818,8,0,0.0
1900-01-01 15:34:11.330,21.942915,-0.044904,22.493004,-1.327047,0.084726,0.115144,0.178254,0.769096,8,0,0.0
