Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 12:51:19.552,22.10266,17.442368,22.02974,-8.699305,0.027392,0.027535,0.07102,1.056699,0,0.0
1900-01-01 12:51:20.552,22.098198,16.913675,22.028558,-8.920984,0.0281,0.028412,0.07147,0.971833,0,0.0
1900-01-01 12:51:21.552,22.100429,16.429084,22.026852,-9.096464,0.027995,0.028338,0.072683,0.967118,0,0.0
1900-01-01 12:51:22.552,22.102398,15.966807,22.025933,-9.236376,0.027628,0.028076,0.072885,1.099133,0,0.0
1900-01-01 12:51:23.552,22.106205,15.550074,22.027246,-9.339537,0.029009,0.028701,0.073169,1.136851,0,0.0
1900-01-01 12:51:24.552,22.108436,15.175606,22.023045,-9.418418,0.029513,0.02995,0.073739,0.985977,0,0.0
1900-01-01 12:51:25.552,22.110405,14.84432,22.021338,-9.470655,0.029723,0.030192,0.073454,1.136851,0,0.0
1900-01-01 12:51:26.552,22.112768,14.533247,22.019894,-9.509899,0.029681,0.030034,0.07396,0.952974,0,0.0
1900-01-01 12:51:27.552,22.111061,14.246194,22.019369,-9.528273,0.029339,0.029325,0.073555,1.042555,0,0.0
1900-01-01 12:51:28.552,22.113293,14.012037,22.019894,-9.532342,0.029434,0.029278,0.073629,0.948259,0,0.0
1900-01-01 12:51:29.552,22.116574,13.787198,22.016613,-9.525517,0.029539,0.029767,0.073445,1.084988,0,0.0
1900-01-01 12:51:30.552,22.114343,13.583229,22.013987,-9.504517,0.029602,0.030061,0.074024,1.03784,0,0.0
1900-01-01 12:51:31.552,22.114999,13.405379,22.015562,-9.522367,0.030143,0.030691,0.075044,1.04727,0,0.0
1900-01-01 12:51:32.552,22.116705,13.241574,22.013593,-9.64771,0.031986,0.031893,0.076431,1.009551,0,0.0
1900-01-01 12:51:33.552,22.11618,13.088925,22.014512,-9.909158,0.03344,0.033358,0.077368,1.103847,0,0.0
1900-01-01 12:51:34.552,22.106598,12.92932,22.013987,-10.306843,0.035157,0.034319,0.078103,1.03784,0,0.0
1900-01-01 12:51:35.552,22.109617,12.786909,22.013068,-10.753352,0.035031,0.035699,0.079114,1.089703,0,0.0
1900-01-01 12:51:36.552,22.109355,12.657886,22.005061,-11.232411,0.035293,0.035773,0.079986,1.066129,0,0.0
1900-01-01 12:51:37.552,22.109749,12.56312,22.013462,-11.740607,0.036685,0.03623,0.080639,1.099133,0,0.0
1900-01-01 12:51:38.552,22.106205,12.463761,22.012149,-12.250247,0.037562,0.037479,0.081484,0.985977,0,0.0
1900-01-01 12:51:39.552,22.089928,12.312425,21.989964,-12.753193,0.037919,0.038802,0.083689,0.981262,0,0.0
